Comunidad Autónoma,Provincia,año,cob_100mbps
Galicia,Ourense,2022,0.722896979587142
Galicia,Ourense,2023,0.751007113440659
Galicia,Ourense,2024,0.7096427662409606
Castilla Y León,Palencia,2013,0.4742149739797843
Castilla Y León,Palencia,2014,0.4742149739797843
Castilla Y León,Palencia,2015,0.4752341210784821
Castilla Y León,Palencia,2016,0.48285897931710475
Castilla Y León,Palencia,2017,0.6101675914798234
Castilla Y León,Palencia,2018,0.6429519993244152
Castilla Y León,Palencia,2019,0.6677152871975421
Castilla Y León,Palencia,2020,0.7392092929492418
Castilla Y León,Palencia,2021,0.6854218345616878
Castilla Y León,Palencia,2022,0.7316593422171818
Castilla Y León,Palencia,2023,0.8477769135173314
Castilla Y León,Palencia,2024,0.9281914418837138
Canarias,"Palmas, Las",2013,0.40913413145542177
Canarias,"Palmas, Las",2014,0.44422957588577994
Canarias,"Palmas, Las",2015,0.5365335426080013
Canarias,"Palmas, Las",2016,0.6394451790617426
Canarias,"Palmas, Las",2017,0.6771689459116038
Canarias,"Palmas, Las",2018,0.7590140950004388
Canarias,"Palmas, Las",2019,0.812415910245912
Canarias,"Palmas, Las",2020,0.8542704241160484
Canarias,"Palmas, Las",2021,0.9293445115583515
Canarias,"Palmas, Las",2022,0.9302471243582465
Canarias,"Palmas, Las",2023,0.936471847826761
Canarias,"Palmas, Las",2024,0.9351396707643322
Galicia,Pontevedra,2013,0.49913472014753285
Galicia,Pontevedra,2014,0.49909448829093095
Galicia,Pontevedra,2015,0.521407604855858
Galicia,Pontevedra,2016,0.5634626286966333
Galicia,Pontevedra,2017,0.5747876466272258
Galicia,Pontevedra,2018,0.6145633719147914
Galicia,Pontevedra,2019,0.6762396052286058
Galicia,Pontevedra,2020,0.7445880250542144
Galicia,Pontevedra,2021,0.8167431565392156
Galicia,Pontevedra,2022,0.8188194289122493
Galicia,Pontevedra,2023,0.8842666754067198
Galicia,Pontevedra,2024,0.8994382943829439
Rioja (La),"Rioja, La",2013,0.6509278474837563
Rioja (La),"Rioja, La",2014,0.6922413312687368
Rioja (La),"Rioja, La",2015,0.711646963102278
Rioja (La),"Rioja, La",2016,0.717226135559575
Rioja (La),"Rioja, La",2017,0.7616505970896126
Rioja (La),"Rioja, La",2018,0.8640167999472637
Rioja (La),"Rioja, La",2019,0.8561820483821387
Rioja (La),"Rioja, La",2020,0.9072451137475238
Rioja (La),"Rioja, La",2021,0.9160130093744021
Rioja (La),"Rioja, La",2022,0.9253381075653836
Rioja (La),"Rioja, La",2023,0.9393418191590726
Rioja (La),"Rioja, La",2024,0.9361425102162231
Castilla Y León,Salamanca,2013,0.5552538317649771
Castilla Y León,Salamanca,2014,0.5735502625999327
Castilla Y León,Salamanca,2015,0.5733394309445831
Castilla Y León,Salamanca,2016,0.5935377282691814
Castilla Y León,Salamanca,2017,0.6314951372055876
Castilla Y León,Salamanca,2018,0.6568725342799522
Castilla Y León,Salamanca,2019,0.6733039190623054
Castilla Y León,Salamanca,2020,0.7265201799541001
Castilla Y León,Salamanca,2021,0.6623322377719741
Castilla Y León,Salamanca,2022,0.688663735583379
Castilla Y León,Salamanca,2023,0.7834509705066801
Castilla Y León,Salamanca,2024,0.852069045072254
Canarias,Santa Cruz De Tenerife,2013,0.31805978555093
Canarias,Santa Cruz De Tenerife,2014,0.3325656816621253
Canarias,Santa Cruz De Tenerife,2015,0.44251134404572356
Canarias,Santa Cruz De Tenerife,2016,0.5204068098848029
Canarias,Santa Cruz De Tenerife,2017,0.5995203437354744
Canarias,Santa Cruz De Tenerife,2018,0.7322247617195279
Canarias,Santa Cruz De Tenerife,2019,0.7576662769261315
Canarias,Santa Cruz De Tenerife,2020,0.8356774601451528
Canarias,Santa Cruz De Tenerife,2021,0.9270939328574085
Canarias,Santa Cruz De Tenerife,2022,0.9412328378283125
Canarias,Santa Cruz De Tenerife,2023,0.9195895570441609
Canarias,Santa Cruz De Tenerife,2024,0.9436263107570667
Castilla Y León,Segovia,2013,0.28819096398332317
Castilla Y León,Segovia,2014,0.2909310996559438
Castilla Y León,Segovia,2015,0.2952477567582863
Castilla Y León,Segovia,2016,0.32952976151521035
Castilla Y León,Segovia,2017,0.4261166292428053
Castilla Y León,Segovia,2018,0.5083248642216979
Castilla Y León,Segovia,2019,0.527249235154176
Castilla Y León,Segovia,2020,0.7011466929252739
Castilla Y León,Segovia,2021,0.7087089287895444
Castilla Y León,Segovia,2022,0.7862146056663102
Castilla Y León,Segovia,2023,0.8558870387293475
Castilla Y León,Segovia,2024,0.8900420124021257
Andalucía,Sevilla,2013,0.4882991242058349
Andalucía,Sevilla,2014,0.6078063503444249
Andalucía,Sevilla,2015,0.6394214734573334
Andalucía,Sevilla,2016,0.6852127366968206
Andalucía,Sevilla,2017,0.8054159342548756
Andalucía,Sevilla,2018,0.872260152248492
Andalucía,Sevilla,2019,0.920929240137587
Andalucía,Sevilla,2020,0.9262130345707311
Andalucía,Sevilla,2021,0.9276710774609569
Andalucía,Sevilla,2022,0.934928597344006
Andalucía,Sevilla,2023,0.9644046042019864
Andalucía,Sevilla,2024,0.9725456423996164
Castilla Y León,Soria,2013,0.4547132575713174
Castilla Y León,Soria,2014,0.4519870080032358
Castilla Y León,Soria,2015,0.4548770503541739
Castilla Y León,Soria,2016,0.4707428263208424
Castilla Y León,Soria,2017,0.5114814036050234
Castilla Y León,Soria,2018,0.5804665269941263
Castilla Y León,Soria,2019,0.5487135315854581
Castilla Y León,Soria,2020,0.656414926579
Castilla Y León,Soria,2021,0.6007989674881692
Castilla Y León,Soria,2022,0.6353193407316271
Castilla Y León,Soria,2023,0.6967704743097548
Castilla Y León,Soria,2024,0.688000293301722
Cataluña,Tarragona,2013,0.23525593039838752
Cataluña,Tarragona,2014,0.2300723329168078
Cataluña,Tarragona,2015,0.32038444255271764
Cataluña,Tarragona,2016,0.3870098744412136
Cataluña,Tarragona,2017,0.503375928001012
Cataluña,Tarragona,2018,0.5978240647854108
