ccaa,provincia,anyo,cob_100mbps_pct,delta_yoy,ranking_anio
Galicia,Lugo,2015,49.9626,0.3782,29
Galicia,Lugo,2016,49.9465,-0.0161,33
Galicia,Lugo,2017,50.7588,0.8123,43
Galicia,Lugo,2018,51.3924,0.6336,47
Galicia,Lugo,2019,56.0336,4.6412,46
Galicia,Lugo,2020,60.4009,4.3673,49
Galicia,Lugo,2021,61.3511,0.9502,48
Galicia,Lugo,2022,63.0061,1.655,52
Galicia,Lugo,2023,69.7365,6.7304,51
Galicia,Lugo,2024,76.127,6.3905,49
Madrid (Comunidad De),Madrid,2013,82.8467,,3
Madrid (Comunidad De),Madrid,2014,90.0891,7.2424,2
Madrid (Comunidad De),Madrid,2015,93.1172,3.0281,2
Madrid (Comunidad De),Madrid,2016,94.7079,1.5907,2
Madrid (Comunidad De),Madrid,2017,96.1401,1.4322,3
Madrid (Comunidad De),Madrid,2018,97.129,0.9889,2
Madrid (Comunidad De),Madrid,2019,97.2985,0.1695,3
Madrid (Comunidad De),Madrid,2020,96.8534,-0.4451,3
Madrid (Comunidad De),Madrid,2021,98.4118,1.5584,3
Madrid (Comunidad De),Madrid,2022,98.7198,0.308,3
Madrid (Comunidad De),Madrid,2023,98.9759,0.2561,2
Madrid (Comunidad De),Madrid,2024,99.0966,0.1207,1
Ciudad Autónoma De Melilla,Melilla,2013,83.3944,,2
Ciudad Autónoma De Melilla,Melilla,2014,86.7558,3.3614,4
Ciudad Autónoma De Melilla,Melilla,2015,95.7825,9.0267,1
Ciudad Autónoma De Melilla,Melilla,2016,100.0,4.2175,1
Ciudad Autónoma De Melilla,Melilla,2017,100.0,0.0,1
Ciudad Autónoma De Melilla,Melilla,2018,100.0,0.0,1
Ciudad Autónoma De Melilla,Melilla,2019,100.0,0.0,1
Ciudad Autónoma De Melilla,Melilla,2020,100.0,0.0,1
Ciudad Autónoma De Melilla,Melilla,2021,99.505,-0.495,1
Ciudad Autónoma De Melilla,Melilla,2022,99.8137,0.3087,1
Ciudad Autónoma De Melilla,Melilla,2023,98.8671,-0.9466,3
Ciudad Autónoma De Melilla,Melilla,2024,98.2784,-0.5887,3
Murcia (Región De),Murcia,2013,53.9556,,19
Murcia (Región De),Murcia,2014,62.0159,8.0603,19
Murcia (Región De),Murcia,2015,65.3933,3.3774,16
Murcia (Región De),Murcia,2016,66.5193,1.126,19
Murcia (Región De),Murcia,2017,70.7401,4.2208,19
Murcia (Región De),Murcia,2018,78.2887,7.5486,20
