provincia,anyo,compraventas_vivienda,poblacion_provincia,viajeros,pernoctaciones,compraventas_per_capita
Alicante/Alacant,2017,104151.0,904711.0,44870341.0,1364795.0,0.115121
Alicante/Alacant,2017,104151.0,920621.0,44870341.0,1364795.0,0.113131
Alicante/Alacant,2018,118197.0,1838819.0,44839771.0,1390712.0,0.064279
Alicante/Alacant,2018,118197.0,911097.0,44839771.0,1390712.0,0.12973
Alicante/Alacant,2018,118197.0,927722.0,44839771.0,1390712.0,0.127406
Alicante/Alacant,2019,111420.0,1858683.0,44809109.0,1414605.0,0.059946
Alicante/Alacant,2019,111420.0,920915.0,44809109.0,1414605.0,0.120988
Alicante/Alacant,2019,111420.0,937768.0,44809109.0,1414605.0,0.118814
Alicante/Alacant,2020,86088.0,1879888.0,12783912.0,675723.0,0.045794
Alicante/Alacant,2020,86088.0,931856.0,12783912.0,675723.0,0.092383
Alicante/Alacant,2020,86088.0,948032.0,12783912.0,675723.0,0.090807
Alicante/Alacant,2021,109368.0,1881762.0,22030953.0,900237.0,0.05812
Alicante/Alacant,2021,109368.0,932018.0,22030953.0,900237.0,0.117345
Alicante/Alacant,2021,109368.0,949744.0,22030953.0,900237.0,0.115155
Alicante/Alacant,2022,151665.0,,40733893.0,1370511.0,
Alicante/Alacant,2023,145833.0,,43845839.0,1439620.0,
Alicante/Alacant,2024,157092.0,,46792063.0,1480997.0,
Almería,1996,,501761.0,,,
Almería,1996,,250552.0,,,
Almería,1996,,251209.0,,,
Almería,1998,,505448.0,,,
Almería,1998,,252177.0,,,
Almería,1998,,253271.0,,,
Almería,1999,,512843.0,9698038.0,27415.0,
Almería,1999,,256380.0,9698038.0,27415.0,
Almería,1999,,256463.0,9698038.0,27415.0,
Almería,2000,,518229.0,9834958.0,28355.0,
Almería,2000,,259384.0,9834958.0,28355.0,
Almería,2000,,258845.0,9834958.0,28355.0,
Almería,2001,,533168.0,9999836.0,250454.0,
Almería,2001,,269545.0,9999836.0,250454.0,
Almería,2001,,263623.0,9999836.0,250454.0,
Almería,2002,,546498.0,9664162.0,263072.0,
Almería,2002,,276380.0,9664162.0,263072.0,
Almería,2002,,270118.0,9664162.0,263072.0,
Almería,2003,,565310.0,10786490.0,274457.0,
Almería,2003,,287292.0,10786490.0,274457.0,
Almería,2003,,278018.0,10786490.0,274457.0,
Almería,2004,,580077.0,12344223.0,343670.0,
Almería,2004,,294186.0,12344223.0,343670.0,
Almería,2004,,285891.0,12344223.0,343670.0,
Almería,2005,,612315.0,12102328.0,351655.0,
Almería,2005,,315056.0,12102328.0,351655.0,
Almería,2005,,297259.0,12102328.0,351655.0,
Almería,2006,,635850.0,12319559.0,363758.0,
Almería,2006,,329632.0,12319559.0,363758.0,
Almería,2006,,306218.0,12319559.0,363758.0,
Almería,2007,64416.0,646633.0,12330581.0,373343.0,0.099618
