provincia,anyo,flujo_hombres,flujo_mujeres,flujo_total,ratio_feminizacion,brecha_absoluta,saldo_neto,tasa_atraccion,cob_100mbps_pct,compraventas_per_capita
Barcelona,2015,41623.0,36730.0,78353.0,46.877592434239915,-4893.0,-26708,-2.1418,80.4209,0.042033
Barcelona,2015,41623.0,36730.0,78353.0,46.877592434239915,-4893.0,-26708,-2.1418,80.4209,0.040083
Barcelona,2016,40776.0,36759.0,77535.0,47.409556974269684,-4017.0,-34370,-7.8131,90.5176,0.025184
Barcelona,2016,40776.0,36759.0,77535.0,47.409556974269684,-4017.0,-34370,-7.8131,90.5176,0.051608
Barcelona,2016,40776.0,36759.0,77535.0,47.409556974269684,-4017.0,-34370,-7.8131,90.5176,0.049187
Barcelona,2017,40262.0,36450.0,76712.0,47.51538220878089,-3812.0,-21512,-1.2771,93.7521,0.028962
Barcelona,2017,40262.0,36450.0,76712.0,47.51538220878089,-3812.0,-21512,-1.2771,93.7521,0.059403
Barcelona,2017,40262.0,36450.0,76712.0,47.51538220878089,-3812.0,-21512,-1.2771,93.7521,0.056517
Barcelona,2018,45346.0,41402.0,86748.0,47.72674874348688,-3944.0,-39123,-9.2032,95.6165,0.029956
Barcelona,2018,45346.0,41402.0,86748.0,47.72674874348688,-3944.0,-39123,-9.2032,95.6165,0.061474
Barcelona,2018,45346.0,41402.0,86748.0,47.72674874348688,-3944.0,-39123,-9.2032,95.6165,0.058429
Barcelona,2019,45884.0,41698.0,87582.0,47.61023954693887,-4186.0,-31343,-2.5179,95.6246,0.029271
Barcelona,2019,45884.0,41698.0,87582.0,47.61023954693887,-4186.0,-31343,-2.5179,95.6246,0.060017
Barcelona,2019,45884.0,41698.0,87582.0,47.61023954693887,-4186.0,-31343,-2.5179,95.6246,0.057138
Barcelona,2020,47494.0,43478.0,90972.0,47.79272743261663,-4016.0,-41926,-11.777,95.5473,0.023024
Barcelona,2020,47494.0,43478.0,90972.0,47.79272743261663,-4016.0,-41926,-11.777,95.5473,0.047154
Barcelona,2020,47494.0,43478.0,90972.0,47.79272743261663,-4016.0,-41926,-11.777,95.5473,0.044992
Barcelona,2021,52512.0,48240.0,100752.0,47.87994282991901,-4272.0,-38329,-3.1816,98.4085,0.030444
Barcelona,2021,52512.0,48240.0,100752.0,47.87994282991901,-4272.0,-38329,-3.1816,98.4085,0.062331
Barcelona,2021,52512.0,48240.0,100752.0,47.87994282991901,-4272.0,-38329,-3.1816,98.4085,0.059512
Bizkaia,2013,8924.0,8479.0,17403.0,48.72148480147101,-445.0,-6393,-2.7627,91.2849,0.013612
Bizkaia,2013,8924.0,8479.0,17403.0,48.72148480147101,-445.0,-6393,-2.7627,91.2849,0.02813
Bizkaia,2013,8924.0,8479.0,17403.0,48.72148480147101,-445.0,-6393,-2.7627,91.2849,0.026372
Bizkaia,2014,9007.0,7981.0,16988.0,46.98022133270544,-1026.0,1400,0.1415,91.0963,0.015116
Bizkaia,2014,9007.0,7981.0,16988.0,46.98022133270544,-1026.0,1400,0.1415,91.0963,0.031273
Bizkaia,2014,9007.0,7981.0,16988.0,46.98022133270544,-1026.0,1400,0.1415,91.0963,0.029257
Bizkaia,2015,8987.0,8316.0,17303.0,48.061029879211695,-671.0,-6776,-3.6139,92.282,0.020403
Bizkaia,2015,8987.0,8316.0,17303.0,48.061029879211695,-671.0,-6776,-3.6139,92.282,0.042245
Bizkaia,2015,8987.0,8316.0,17303.0,48.061029879211695,-671.0,-6776,-3.6139,92.282,0.039463
Bizkaia,2016,8873.0,7832.0,16705.0,46.884166417240344,-1041.0,-7238,-6.5031,93.0295,0.022095
Bizkaia,2016,8873.0,7832.0,16705.0,46.884166417240344,-1041.0,-7238,-6.5031,93.0295,0.045741
Bizkaia,2016,8873.0,7832.0,16705.0,46.884166417240344,-1041.0,-7238,-6.5031,93.0295,0.042742
Bizkaia,2017,9116.0,8364.0,17480.0,47.84897025171625,-752.0,-6602,-3.0879,94.5139,0.023996
Bizkaia,2017,9116.0,8364.0,17480.0,47.84897025171625,-752.0,-6602,-3.0879,94.5139,0.049712
Bizkaia,2017,9116.0,8364.0,17480.0,47.84897025171625,-752.0,-6602,-3.0879,94.5139,0.046388
Bizkaia,2018,9262.0,8466.0,17728.0,47.75496389891697,-796.0,-5118,-1.3663,95.4825,0.027418
Bizkaia,2018,9262.0,8466.0,17728.0,47.75496389891697,-796.0,-5118,-1.3663,95.4825,0.056807
Bizkaia,2018,9262.0,8466.0,17728.0,47.75496389891697,-796.0,-5118,-1.3663,95.4825,0.052999
Bizkaia,2019,9438.0,8398.0,17836.0,47.08454810495627,-1040.0,-5147,-1.3649,96.6585,0.026545
