provincia,anyo,entradas,salidas,saldo_neto
Pontevedra,2008,4887,7500,-2613
Pontevedra,2009,6474,7548,-1074
Pontevedra,2010,14247,7738,6509
Pontevedra,2011,1345,8145,-6800
Pontevedra,2012,2004,7599,-5595
Pontevedra,2013,4453,7414,-2961
Pontevedra,2014,9747,7430,2317
Pontevedra,2015,4886,7796,-2910
Pontevedra,2016,4819,7283,-2464
Pontevedra,2017,8469,6898,1571
Pontevedra,2018,1949,7283,-5334
Pontevedra,2019,16872,7262,9610
Pontevedra,2020,7376,5935,1441
Pontevedra,2021,5663,6739,-1076
"Rioja, La",2008,11497,4247,7250
"Rioja, La",2009,6483,4466,2017
"Rioja, La",2010,14270,4507,9763
"Rioja, La",2011,3785,4397,-612
"Rioja, La",2012,13795,4100,9695
"Rioja, La",2013,3381,3850,-469
"Rioja, La",2014,44407,4053,40354
"Rioja, La",2015,2392,3858,-1466
"Rioja, La",2016,3948,3784,164
"Rioja, La",2017,1623,3446,-1823
"Rioja, La",2018,3710,3573,137
"Rioja, La",2019,5685,3442,2243
"Rioja, La",2020,7266,3027,4239
"Rioja, La",2021,11106,3593,7513
Salamanca,2008,8176,4883,3293
Salamanca,2009,16410,4577,11833
Salamanca,2010,4125,4814,-689
Salamanca,2011,8919,4910,4009
Salamanca,2012,6287,4569,1718
Salamanca,2013,3436,4433,-997
Salamanca,2014,8879,4602,4277
Salamanca,2015,4501,4645,-144
Salamanca,2016,5940,4291,1649
Salamanca,2017,10458,4240,6218
Salamanca,2018,3746,4582,-836
Salamanca,2019,17243,4594,12649
Salamanca,2020,3073,3465,-392
Salamanca,2021,12047,4047,8000
Santa Cruz de Tenerife,2008,12074,10466,1608
Santa Cruz de Tenerife,2009,8566,10508,-1942
Santa Cruz de Tenerife,2010,18389,10070,8319
Santa Cruz de Tenerife,2011,3871,9618,-5747
Santa Cruz de Tenerife,2012,43978,8576,35402
Santa Cruz de Tenerife,2013,5529,7955,-2426
Santa Cruz de Tenerife,2014,9576,8026,1550
Santa Cruz de Tenerife,2015,6979,8740,-1761
Santa Cruz de Tenerife,2016,3156,7736,-4580
Santa Cruz de Tenerife,2017,3695,7516,-3821
Santa Cruz de Tenerife,2018,2376,8075,-5699
Santa Cruz de Tenerife,2019,5046,8374,-3328
Santa Cruz de Tenerife,2020,3560,7001,-3441
Santa Cruz de Tenerife,2021,4593,8656,-4063
Segovia,2008,4811,3327,1484
Segovia,2009,11332,3137,8195
Segovia,2010,6755,2945,3810
Segovia,2011,10672,3202,7470
Segovia,2012,9762,2982,6780
Segovia,2013,2651,2926,-275
Segovia,2014,4357,2836,1521
Segovia,2015,17121,2927,14194
Segovia,2016,3508,2683,825
Segovia,2017,5081,2596,2485
Segovia,2018,15435,2756,12679
Segovia,2019,37622,2754,34868
Segovia,2020,1306,2313,-1007
Segovia,2021,5595,2875,2720
Sevilla,2008,10533,12554,-2021
Sevilla,2009,3228,12867,-9639
Sevilla,2010,11268,13686,-2418
Sevilla,2011,47571,14462,33109
Sevilla,2012,2194,14760,-12566
Sevilla,2013,3499,14942,-11443
Sevilla,2014,1707,15132,-13425
Sevilla,2015,18819,15233,3586
Sevilla,2016,5761,15031,-9270
Sevilla,2017,6303,15465,-9162
Sevilla,2018,9236,15602,-6366
Sevilla,2019,4616,15447,-10831
Sevilla,2020,6733,12854,-6121
Sevilla,2021,5638,14883,-9245
Soria,2008,4225,1821,2404
Soria,2009,7400,1559,5841
Soria,2010,4179,1564,2615
Soria,2011,4719,1689,3030
Soria,2012,12995,1515,11480
Soria,2013,9309,1485,7824
Soria,2014,18962,1551,17411
Soria,2015,8210,1476,6734
Soria,2016,1612,1344,268
Soria,2017,4411,1372,3039
Soria,2018,18080,1440,16640
Soria,2019,12636,1415,11221
Soria,2020,3728,1332,2396
Soria,2021,7512,1481,6031
Tarragona,2008,8845,13012,-4167
Tarragona,2009,4520,13284,-8764
Tarragona,2010,4851,13520,-8669
Tarragona,2011,11843,13352,-1509
Tarragona,2012,7131,12731,-5600
Tarragona,2013,74036,12199,61837
Tarragona,2014,2083,12039,-9956
Tarragona,2015,10862,12449,-1587
Tarragona,2016,1721,11020,-9299
Tarragona,2017,7997,10451,-2454
Tarragona,2018,2027,10632,-8605
Tarragona,2019,9766,10515,-749
Tarragona,2020,7010,8735,-1725
Tarragona,2021,7362,10628,-3266
Teruel,2008,46315,3071,43244
Teruel,2009,5421,3059,2362
Teruel,2010,10123,2992,7131
Teruel,2011,5856,2848,3008
Teruel,2012,10098,2598,7500
Teruel,2013,2483,2458,25
Teruel,2014,73050,2442,70608
Teruel,2015,1759,2389,-630
Teruel,2016,10244,2409,7835
Teruel,2017,3874,2390,1484
Teruel,2018,10649,2430,8219
Teruel,2019,2169,2381,-212
Teruel,2020,8336,1864,6472
Teruel,2021,4728,2423,2305
Toledo,2008,1945,11671,-9726
Toledo,2009,7318,13303,-5985
Toledo,2010,11118,13899,-2781
Toledo,2011,10602,15214,-4612
Toledo,2012,2782,16080,-13298
Toledo,2013,1124,16442,-15318
Toledo,2014,2331,15607,-13276
Toledo,2015,1867,15118,-13251
Toledo,2016,3581,13898,-10317
Toledo,2017,7518,13991,-6473
Toledo,2018,11651,14045,-2394
Toledo,2019,6185,14446,-8261
Toledo,2020,11713,11602,111
Toledo,2021,13054,14297,-1243
Valencia/València,2008,5175,22308,-17133
Valencia/València,2009,10814,23004,-12190
Valencia/València,2010,5297,23486,-18189
Valencia/València,2011,2470,22384,-19914
Valencia/València,2012,9319,21854,-12535
Valencia/València,2013,1902,19861,-17959
Valencia/València,2014,8696,19536,-10840
Valencia/València,2015,76886,19147,57739
Valencia/València,2016,1113,18470,-17357
Valencia/València,2017,40368,17486,22882
Valencia/València,2018,4201,17529,-13328
Valencia/València,2019,7079,17637,-10558
Valencia/València,2020,4171,15108,-10937
Valencia/València,2021,9197,17434,-8237
Valladolid,2008,3241,5889,-2648
Valladolid,2009,46679,5650,41029
Valladolid,2010,2823,5918,-3095
Valladolid,2011,10542,5870,4672
Valladolid,2012,2030,5753,-3723
Valladolid,2013,9644,5634,4010
Valladolid,2014,13038,5715,7323
Valladolid,2015,11038,5415,5623
Valladolid,2016,6379,5320,1059
Valladolid,2017,17118,5349,11769
Valladolid,2018,4454,5694,-1240
Valladolid,2019,4489,5568,-1079
Valladolid,2020,1174,4878,-3704
Valladolid,2021,4575,5359,-784
Zamora,2008,6793,3049,3744
Zamora,2009,9401,2597,6804
Zamora,2010,4755,2787,1968
Zamora,2011,4619,2825,1794
Zamora,2012,4031,2702,1329
Zamora,2013,3703,2678,1025
Zamora,2014,10394,2607,7787
Zamora,2015,13680,2663,11017
Zamora,2016,3548,2629,919
Zamora,2017,2138,2518,-380
Zamora,2018,8566,2647,5919
Zamora,2019,8929,2684,6245
Zamora,2020,7451,1967,5484
Zamora,2021,1453,2286,-833
Zaragoza,2008,9236,9279,-43
Zaragoza,2009,5177,9835,-4658
Zaragoza,2010,20603,10477,10126
Zaragoza,2011,20069,10107,9962
Zaragoza,2012,19813,9215,10598
Zaragoza,2013,10154,9236,918
Zaragoza,2014,10923,9495,1428
Zaragoza,2015,3766,9491,-5725
Zaragoza,2016,9015,9274,-259
Zaragoza,2017,6549,8458,-1909
Zaragoza,2018,37765,8791,28974
Zaragoza,2019,7946,8817,-871
Zaragoza,2020,4338,8237,-3899
Zaragoza,2021,8080,9688,-1608
Ávila,2008,10983,3710,7273
Ávila,2009,2486,3611,-1125
Ávila,2010,2366,3500,-1134
Ávila,2011,2283,3781,-1498
Ávila,2012,3246,3705,-459
Ávila,2013,12890,3411,9479
Ávila,2014,3822,3472,350
Ávila,2015,6588,3448,3140
Ávila,2016,8420,3408,5012
Ávila,2017,18873,3389,15484
Ávila,2018,7849,3352,4497
Ávila,2019,1350,3399,-2049
Ávila,2020,15840,2814,13026
Ávila,2021,19236,3332,15904
